normalperson wj225|See: Batshua
bible5 cout|What is the vine tree more than any tree, or than a branch which is among the trees of the forest? (Ezekiel 15:2)
bible6 cout|Then a lord on whose hand the king leaned answered the man of God, and said, Behold, if the LORD would make windows in heaven, might this thing be?  And he said, Behold, thou shalt see it with thine eyes, but thou shalt not eat thereof. (2 Kings 7:2)
bible7 cout|And I will make windows of agates... (Isaiah 54:12)
bible8 cout|For death is come up into our windows, and it is entered into our palaces, to cut off the children from the without, and the young men from the streets. (Jeremiah 9:21)
porno Gambit-|http://www.userfriendly.org/cartoons/archives/99jun/19990627.html
one_day kcin|* frameman yawns. One day i will manage to code. And that will be a glorious day full of rainbows and bunnys and little people with colorful clothing and candy for me.
thematrix undone|"Never send a man to do a machine's job." -- the matrix
drgd kcin|the Drgd in DrgdHmstr stands for drugged. Drugged Hamster
ho-or-bitch OGL|a ho sleeps with everyone...a bitch sleeps with everyone but you
now SNIBRIL| #include <time.h>  ...  time_t now = time(0); struct tm tm_now = *localtime(&now);
pong megaton|see ping
O SNIBRIL|* undone thinks "orgasm" everytime he hears "big O".
optimize SNIBRIL|Make it nice, make it work, make it fast. And keep it nice!
unp2 SNIBRIL|"Unix Network Programming: Interprocess Communications" by W. Richard Stevens, 2nd Edition, Hardcover, 558 pages, Prentice-Hall, 1999, ISBN 0-13-081081-9
widowsnt Perly|Send perly some ideas for good WindowsNT calcs (perly@xnet.com)
windowsnt Teckla|mine!
please do not owncalc deported dePorted|duh
gangsta Gambit-|<voxel> As I walk through the channels, where I irc all day, I take a look at my life, and realize its pretty gay. But thats OK for a hacker like me, I got 50 T1 shells that were free... been hacking most our lives... livin in a hackors paradise.. got win-nuked once or twice.. livin in a hackers paradise...
#perl kcin|<Sauvin> You can go to #perl with an amazing array of questions, but HTML and CGI will get your ass screwed, blued, tattooed, glued, flued, imbued, and sued.
usage: Perly|calc <something>
consensus Perly|Super-bad brutha!
toilet MaineCoon|Confucious say: Man who stand on toilet is high on pot.
quiver MaineCoon|I see you quiver with an-tici-pation!
URL Perly|You Are EL.
kernel-panic Perly|Make your own kernel panic message freak the users outs! #define MODULE #include <linux/module.h> #include <linux/kernel.h> int init_module(void) { panic("Life sux!\n"); return 0; } void cleanup_module(void) {};  gcc panic.c -c; insmod panic.o
Setzer Setz|Real programmers debug with an anolog multi-meter!
tybstar2 kcin|<Tybstar> "My peepee is more sensitive than yours!"
badcalc Aegis| Please don't waste system resources with silly calcs.
testtest You|hihi
maillist Aegis| Join the #C mail list!   send a message to "C-request@www.night-flyer.com"  with the word "SUBSCRIBE" in the message.
sedo dePorted|sadomasochism n : sexual pleasure obtained both by inflicting pain or receiving pain.
joke33 undone|Q: What did the buddhist say to the hot dog vender?  A: Make me one with everything.
undone venus|test
talkingcode Perly|<Volcher> Why would the following code say it was found?
qu2 CyrixBoy| when substantiating a bilinear lateral plane, how do you do calculate the vector-normal ratio of the rasterized polynomials?
drugs Perly|<frameman> weird, my applce cidar vinegar is talking to me.
hellow Perly|/dev/hellow written and maintained by Perly.  Current version 2.0.0. www.xnet.com/~perly/hellow.c
linux-conversion Wazm| "They've left behind their trivial selfish lives, and they've been reborn with a greater purpose; we've delivered them from chaos into order." "Comforting words, use them next time instead of: Resistance is Futile - you may elicit a few volunteers!" -"Dark Frontier" Voyager
voxel PW|<Pennywise> you're deaf, man <voxel> why are you talking to benn?
fsck SaintN|fsck -y is your friend
squeekark flub|the sound make by a well bred hamster
assimilark flub|the sound made by a well bred borg
insulted dePorted|<dePorted> As an immigrant I am offended, nay, INSULTED, by the portrayel of our hairy brethen as oppressors of government.
undone_and_women venus|* undone shows blue some "fun".
ISO venus|International Standards Organization
bitfield Aegis| struct mystruct{ unsigned oneflag : 2; unsigned twoflag : 6;} Creats a struct having a bitfield of one two-bit variable , and one 6-bit variable.  The number of bits in the bitfield may not exceed word size, and arrays of bitfields are not possible because no pointer can be assigned to it (use the address for indirection).
atheist_quotes Perly| http://www.math.unl.edu/~augustyn/godisdead.html THANKS PsychoOne!!!
atheist Perly|"The atheist does not say "there is no God," but he says "I know not what you mean by God; I am without idea of God; the word 'God' is to me a sound conveying no clear or distinct affirmation. ... The Bible God I deny; the Christian God I disbelieve in; but I am not rash enough to say there is no God as long as you tell me you are unprepared to define God to me."" [Charles Bradlaugh, "Plea for Atheism"]
hrml Setz| hrml:  Something that Setzer's brain does when he tries thinking.  This saying is usually followed by a puff of smoke and an exclamation 'OW!'
kcin4 Gambit-|The previous calc was incorrect.  Drgd really means 'Drugged'.  Thank you, pass through.
suffer MaineCoon|http://bitch.shutdown.com/make_the_children_suffer.html
reality Perly|The reality of this situation is a car running fast cannot creat a food web where a second order from the internet was follow by a princesses funeral which lead to a devastating earth quake among the canadians causing us to think that the aliens really exist.
pimping kcin|No pimping allowed!
bbqttjoajra eee_|Be Back Quicker Than Two Jiggles Of A Jack Rabbit's Ass
progreligion MaineCoon|Programming, as a Religion: The faith and worship of Ritchie, Kernighan, Stroustrup, Woz, and other software development Deities.  Activities include paying reverence to ESR, Torvalds, and other saints, and shunning evil forces such as RMS and Gates.  See also 'progsins' and 'progvirtues'.
windows Perly|As "you can drag a horse to the water, but you can't make one drink," so also "You can drag a Windows User to a Real OS, but you can't make one think"
windows2 Perly|Windows is just like religion; perverted, sick, false,  a non-essential that ruines our lives. - Perly
tmi undone|Too Much Information.
wtmi Sputnix|Way too much information!
mistakes MaineCoon|Stupid mistakes are made by others; I only make unavoidable errors.
newbie_kit kcin|Read "Learn C in 21 Days" at pbs.mcp.com, you have to signup, but it's free. If you do not have a compiler get either djgpp or cygwin for DOS/Win32. If you're using Linux or another Unix-like OS then use egcs. djgpp/cygwin come with a debugger. For a Linux or Unix-like OS debugger then try gdb. djgpp at www.delorie.com/djgpp/, cygwin at sourceware.cygnus.com/cygwin/, egcs at www.cygnus.com/egcs/, gdb at ftp.gnu.org/gnu/gdb/
joke34 undone|Q: What's the last thing they do to a Tickle-Me Elmo before it leaves the factory?  A: They give it a test tickle.
when_perly_goes_to_college Perly|Out for my own, out to be free  One with my mind, they just can't see  No need to hear things that they say  Life is for my own to live my own way   (Metallica)
QLINK Perly|#define QLINK(head, entry) {  \ (entry)->next = (head); \ (entry)->prev = (head)->prev; \ (head)->prev->next = (entry); \ (head)->prev = (entry); \ }   Double linked lists, code from willow-.
QUNLINK Perly|#define QUNLINK(head, entry) { \ (entry)->prev->next = (entry)->next; \ (entry)->next->prev = (entry)->prev; \ }  Double linked list, code from willow-.
INIT Perly|#define INIT(head) (head)->prev = (head)->next = (head);   Double linked list init, Perly.
suggestion Perly|<Zhivago> perly: I suggest that you stop talking for the next four years.
echidna_penis platypus|http://www.voyager.com/~platypus/echipen.jpg
FIFO Aegis| First In First Out (a queue, for example)
FILO Aegis| First in Last Out (a stack, for example and same as LIFO)
LIFO Aegis|Last In First Out (a stack, for example).
eNITL SNIBRIL| A scripting language engine for C++ applications which require flexible, user-configurable output generation and internal scripting - http://networkimprov.com/enitl/enitl.html
bomb Tybstar|http://www.fromorbit.com/drutter/Bombs.html
frameman zhivago|Frameman: A strange creature from the planet Vega. Avoid at all costs.
problem1 Dmi|There is a nut loose behind your keyboard.
OGL OGL|OGL is a genuine human being.  If you don't believe it, check out http://www.rit.edu/~waw0573/
commandments Perly|C programmer's 10 commandments: http://www.halcyon.com/zylstra/comedy/computer/10-C-commands.txt
candy Omnibus-|I like candy!
mime++ SNIBRIL|mime++ is a C++ class library for parsing, creating, and editing messages in MIME format. http://www.hunnysoft.com/mimepp/
bold wem|Bold, underline, hightlighted, italicized, and otherwise attributed colons, commas, semicolons, and other punctuations and characters are rough on the eyes on somefolks terms, annoying on others, so please DO NOT USE THEM ...this is your last warning -- BitchX'ers type: /set format_nick_comp $0:$1- mIRC'ers type: /remote off
true_url Tybstar|Earl! Earl! Hello Earl!
kcin_linux_advocacy_howto kcin|Windows sucks, Windows sucks! Switch to Linux or you die!
zoo kcin|fuck, fuck, fuck a duck, screw a kangaroo! slap and bang an orangutan, it's an orgy at the zoo! (Don't remove this calc, or i'll kick all your asses)
kcin kcin|Kcin is a libertarian. You should be too. Go to www.libertarian.org for information. Kcin hates communists. You should too.
keyboard Aegis| A good site for hardware info on PC keyboards.  http://ourworld.compuserve.com/homepages/steve_lawther/keybinfo.htm
beep Aegis| A general explanation of the bios beep codes for PC.  Useful for troubleshooting bios and hardware problems.  http://www.night-flyer.com/rombeep.txt
hardware Aegis|An older, but good page with useful pc hardware info and some useful source code...  http://www.cubic.org/source/archive/hardware/index.htm
unicode Aegis| Go here for information on unicode:  http://www.unicode.org/unicode/onlinedat/online.html
suicide kcin|Suicide is an act commited by cowards to avoid pain.
annoying Perly|stop_it
os Aegis| Want to write your own operating system ? http://gaztek.linuxbox.com/osdev/index.html
bootsector Aegis|Here is a good tutorial on using boot sector.  http://gaztek.linuxbox.com/osdev/boot/gbootsect.txt
lobsters MaineCoon|Having lobsters on your piano is better than having crabs on your organ.
You_couldn't_possibly_know_you_youngun' venus|<jn00> when you've had a bit of experience, you'll see im right
discrimination Gambit-|God gave me the inherent ability to discrimate... There are those who would say that nobody has this right. Yet, who here would not agree that if dogs could talk then we would have lobbyists for the right to eat poo.
news platypus|No news is good news; and the programmers in #C are stupid ignorant fools who don't pay attention to news anyway -- thus, they feel good.
blondes platypus|Blondes have been voted, in #C, to be led to either professional pornstars or misled psychologists (if there's such thing as an on-track psychologist)
shutup_andcode Dmi|it doesn't matter what box you have, it doesn't matter which compiler you use; only that you shut up and code.
freud+programming Dmi|"The subject being severed from his mother and father at an early age, seeks role models to imitate. finding none, he looks at the computer his parents bought him to keep it busy, and seeks to posses it."
board Gambit-|The best keyboard in existence: http://www.kinesis-ergo.com/contspec.html
socialists kcin|Do not worry my friends, one day all the damned socialists will leave, and #c will be full of brilliant libertarians who know what the government is for.
perly_politics Perly|Perly's political views are his own business.
libertarian kcin|For information on Libertarians go to www.libertarian.org
payware OrngeTide|You don't get what you pay for, you were just ripped off.
sometimes_it_is_a_good_thing_to_leave_blueberry_alone Troi|Otherwise i get upset. :(
jesus_is_darth? kcin|Jesus was born to a virgin and so was Darth Vader! Oh no!
libmsock OrngeTide|libmsock: a library for TCP/IP client-server applications on Unix. simplifies BSD sockets greatly. http://www.fccc.edu/users/muquit/libmsock/libmsock.html
CASL Aegis| ftp://ftp.nai.com/pub/security/casl/casl20.tgz
CyrixBoy2 Perly|I will NOT touch you THERE.
